ReturnID,OrderID,OrderItemID,ReturnDate,ReturnReason,ReturnStatus
RET0000101,ORD0000101,ITEM00000059,2026-06-09,Late Delivery,Approved
RET0000102,ORD0001034,ITEM00003818,2026-03-17,Late Delivery,Approved
RET0000103,ORD0002852,ITEM00002111,2026-08-13,Wrong Item,Approved
RET0000104,ORD0001711,ITEM00002068,2026-09-11,Quality Issue,Approved
RET0000105,ORD0000990,ITEM00001711,2026-07-16,Customer Changed Mind,Approved
RET0000106,ORD0003013,ITEM00003878,2026-07-18,Customer Changed Mind,Approved
RET0000107,ORD0002276,ITEM00003357,2026-02-26,Damaged,Approved
RET0000108,ORD0000405,ITEM00002371,2026-07-26,Wrong Item,Approved
RET0000109,ORD0001494,ITEM00000732,2026-03-06,Quality Issue,Approved
RET0000110,ORD0002866,ITEM00003977,2026-09-22,Late Delivery,Approved
RET0000111,ORD0000154,ITEM00003006,2026-08-19,Damaged,Rejected
RET0000112,ORD0003008,ITEM00002988,2026-09-23,Damaged,Approved
RET0000113,ORD0003282,ITEM00003380,2026-05-26,Customer Changed Mind,Approved
RET0000114,ORD0003455,ITEM00003623,2026-05-21,Damaged,Approved
RET0000115,ORD0001562,ITEM00001549,2026-03-27,Damaged,Rejected
RET0000116,ORD0000452,ITEM00001037,2026-06-10,Wrong Item,Approved
RET0000117,ORD0001235,ITEM00000245,2026-09-17,Customer Changed Mind,Approved
RET0000118,ORD0002485,ITEM00000188,2026-08-29,Quality Issue,Approved
RET0000119,ORD0003087,ITEM00000663,2026-03-26,Wrong Item,Approved
RET0000120,ORD0001592,ITEM00002008,2026-06-06,Wrong Item,Approved
RET0000121,ORD0000617,ITEM00002907,2026-03-19,Damaged,Approved
RET0000122,ORD0002128,ITEM00000652,2026-05-02,Late Delivery,Approved
RET0000123,ORD0004096,ITEM00003484,2026-01-25,Damaged,Approved
RET0000124,ORD0001322,ITEM00002288,2026-09-08,Quality Issue,Approved
RET0000125,ORD0002648,ITEM00003682,2026-01-16,Customer Changed Mind,Approved
RET0000126,ORD0001365,ITEM00000528,2026-03-01,Damaged,Approved
RET0000127,ORD0003100,ITEM00000837,2026-06-05,Damaged,Approved
RET0000128,ORD0001620,ITEM00002464,2026-07-25,Wrong Item,Approved
RET0000129,ORD0003327,ITEM00002121,2026-08-29,Damaged,Approved
RET0000130,ORD0001270,ITEM00003071,2026-07-01,Wrong Item,Approved
RET0000131,ORD0001767,ITEM00001716,2026-02-13,Quality Issue,Rejected
RET0000132,ORD0001135,ITEM00000195,2026-08-17,Wrong Item,Approved
RET0000133,ORD0001926,ITEM00003280,2026-08-31,Quality Issue,Approved
RET0000134,ORD0001790,ITEM00000141,2026-03-08,Damaged,Approved
RET0000135,ORD0002190,ITEM00001593,2026-07-20,Damaged,Approved
RET0000136,ORD0001918,ITEM00001746,2026-05-11,Late Delivery,Approved
RET0000137,ORD0002429,ITEM00002733,2026-04-12,Late Delivery,Approved
RET0000138,ORD0003531,ITEM00002759,2026-03-01,Quality Issue,Approved
RET0000139,ORD0003742,ITEM00003922,2026-05-13,Quality Issue,Approved
RET0000140,ORD0004106,ITEM00001650,2026-05-19,Quality Issue,Approved
RET0000141,ORD0003574,ITEM00002767,2026-06-07,Quality Issue,Approved
RET0000142,ORD0000874,ITEM00001012,2026-04-05,Late Delivery,Approved
RET0000143,ORD0003491,ITEM00002486,2026-06-28,Quality Issue,Approved
RET0000144,ORD0002704,ITEM00001977,2026-08-22,Late Delivery,Approved
RET0000145,ORD0001158,ITEM00001196,2026-01-31,Damaged,Approved
RET0000146,ORD0003596,ITEM00002490,2026-09-27,Customer Changed Mind,Approved
RET0000147,ORD0002086,ITEM00000810,2026-06-19,Quality Issue,Approved
RET0000148,ORD0002382,ITEM00001653,2026-03-01,Wrong Item,Approved
RET0000149,ORD0002933,ITEM00000972,2026-01-29,Wrong Item,Rejected
RET0000150,ORD0003850,ITEM00003956,2026-09-30,Damaged,Approved
RET0000151,ORD0001117,ITEM00002175,2026-03-24,Late Delivery,Approved
RET0000152,ORD0000497,ITEM00001076,2026-09-08,Customer Changed Mind,Approved
RET0000153,ORD0003511,ITEM00000803,2026-05-24,Quality Issue,Approved
RET0000154,ORD0001238,ITEM00000860,2026-05-11,Damaged,Approved
RET0000155,ORD0001975,ITEM00001786,2026-07-15,Damaged,Approved
RET0000156,ORD0003033,ITEM00003034,2026-03-16,Customer Changed Mind,Approved
RET0000157,ORD0003532,ITEM00001980,2026-07-29,Wrong Item,Approved
RET0000158,ORD0001516,ITEM00000210,2026-07-15,Customer Changed Mind,Approved
RET0000159,ORD0003032,ITEM00002991,2026-05-04,Wrong Item,Approved
RET0000160,ORD0002928,ITEM00001288,2026-03-28,Wrong Item,Approved
RET0000161,ORD0000047,ITEM00002039,2026-04-12,Damaged,Approved
RET0000162,ORD0003578,ITEM00003101,2026-08-28,Late Delivery,Approved
RET0000163,ORD0001473,ITEM00002903,2026-02-26,Wrong Item,Approved
RET0000164,ORD0003745,ITEM00001534,2026-08-11,Customer Changed Mind,Approved
RET0000165,ORD0000533,ITEM00003171,2026-01-24,Damaged,Approved
RET0000166,ORD0000527,ITEM00002126,2026-06-03,Wrong Item,Approved
RET0000167,ORD0000037,ITEM00003463,2026-07-11,Wrong Item,Approved
RET0000168,ORD0002898,ITEM00001794,2026-08-22,Damaged,Approved
RET0000169,ORD0002740,ITEM00002352,2026-09-14,Customer Changed Mind,Approved
RET0000170,ORD0001125,ITEM00002149,2026-07-14,Wrong Item,Approved
RET0000171,ORD0000398,ITEM00002017,2026-06-10,Quality Issue,Approved
RET0000172,ORD0002742,ITEM00002686,2026-02-19,Quality Issue,Approved
RET0000173,ORD0001349,ITEM00001669,2026-08-29,Late Delivery,Rejected
RET0000174,ORD0003611,ITEM00002005,2026-05-18,Customer Changed Mind,Approved
RET0000175,ORD0000630,ITEM00003622,2026-06-11,Quality Issue,Approved
RET0000176,ORD0003223,ITEM00002431,2026-08-07,Damaged,Approved
RET0000177,ORD0000961,ITEM00000137,2026-08-16,Wrong Item,Approved
RET0000178,ORD0003722,ITEM00000651,2026-01-23,Damaged,Approved
RET0000179,ORD0003847,ITEM00003030,2026-09-18,Late Delivery,Approved
RET0000180,ORD0001405,ITEM00000379,2026-05-11,Quality Issue,Approved
RET0000181,ORD0003576,ITEM00000144,2026-04-27,Customer Changed Mind,Approved
RET0000182,ORD0001025,ITEM00002626,2026-08-12,Customer Changed Mind,Approved
RET0000183,ORD0003708,ITEM00001164,2026-08-04,Damaged,Approved
RET0000184,ORD0001247,ITEM00003095,2026-05-20,Late Delivery,Approved
RET0000185,ORD0003496,ITEM00002064,2026-03-12,Damaged,Approved
RET0000186,ORD0000951,ITEM00000786,2026-03-20,Quality Issue,Approved
RET0000187,ORD0002897,ITEM00002241,2026-02-04,Late Delivery,Approved
RET0000188,ORD0003647,ITEM00000504,2026-09-11,Damaged,Approved
RET0000189,ORD0000594,ITEM00001136,2026-03-28,Customer Changed Mind,Approved
RET0000190,ORD0001635,ITEM00000209,2026-09-02,Quality Issue,Approved
RET0000191,ORD0003636,ITEM00003859,2026-05-18,Customer Changed Mind,Approved
RET0000192,ORD0002574,ITEM00000600,2026-07-24,Customer Changed Mind,Approved
RET0000193,ORD0003840,ITEM00001461,2026-05-09,Customer Changed Mind,Approved
RET0000194,ORD0002513,ITEM00001792,2026-09-02,Late Delivery,Rejected
RET0000195,ORD0001487,ITEM00000411,2026-01-25,Late Delivery,Approved
RET0000196,ORD0001991,ITEM00001582,2026-03-01,Wrong Item,Approved
RET0000197,ORD0002064,ITEM00000363,2026-06-19,Late Delivery,Approved
RET0000198,ORD0002885,ITEM00000692,2026-04-26,Customer Changed Mind,Approved
RET0000199,ORD0000807,ITEM00000097,2026-04-17,Customer Changed Mind,Approved
RET0000200,ORD0000808,ITEM00000682,2026-05-01,Wrong Item,Approved
RET0000201,ORD0001527,ITEM00003849,2026-09-06,Damaged,Approved
RET0000202,ORD0002762,ITEM00002707,2026-04-11,Late Delivery,Approved
RET0000203,ORD0000769,ITEM00002252,2026-05-25,Wrong Item,Approved
RET0000204,ORD0000160,ITEM00001666,2026-02-28,Late Delivery,Approved
RET0000205,ORD0001546,ITEM00002284,2026-02-14,Late Delivery,Approved
RET0000206,ORD0000577,ITEM00000140,2026-07-31,Quality Issue,Approved
RET0000207,ORD0000482,ITEM00000239,2026-04-23,Damaged,Approved
RET0000208,ORD0004092,ITEM00000398,2026-05-01,Customer Changed Mind,Approved
RET0000209,ORD0002146,ITEM00001464,2026-04-06,Late Delivery,Approved
RET0000210,ORD0003224,ITEM00001558,2026-07-14,Late Delivery,Approved
RET0000211,ORD0002759,ITEM00002932,2026-05-22,Quality Issue,Approved
RET0000212,ORD0001242,ITEM00002479,2026-07-24,Late Delivery,Approved
RET0000213,ORD0002948,ITEM00002309,2026-06-19,Customer Changed Mind,Rejected
RET0000214,ORD0000248,ITEM00000964,2026-08-07,Late Delivery,Approved
RET0000215,ORD0000141,ITEM00000729,2026-08-09,Quality Issue,Approved
RET0000216,ORD0001498,ITEM00003801,2026-09-04,Late Delivery,Approved
RET0000217,ORD0003522,ITEM00003162,2026-09-06,Damaged,Approved
RET0000218,ORD0001314,ITEM00002863,2026-06-11,Quality Issue,Approved
RET0000219,ORD0003470,ITEM00002497,2026-03-20,Late Delivery,Approved
RET0000220,ORD0002917,ITEM00002918,2026-01-30,Wrong Item,Approved
RET0000221,ORD0001641,ITEM00000328,2026-07-04,Wrong Item,Approved
RET0000222,ORD0002174,ITEM00000106,2026-03-20,Customer Changed Mind,Approved
RET0000223,ORD0000048,ITEM00000984,2026-02-12,Quality Issue,Approved
RET0000224,ORD0001114,ITEM00002732,2026-02-12,Damaged,Approved
RET0000225,ORD0003311,ITEM00000070,2026-09-10,Damaged,Approved
RET0000226,ORD0001138,ITEM00002521,2026-08-04,Quality Issue,Approved
RET0000227,ORD0003745,ITEM00000203,2026-08-21,Damaged,Approved
RET0000228,ORD0002465,ITEM00001996,2026-08-19,Damaged,Approved
RET0000229,ORD0002054,ITEM00003074,2026-01-24,Late Delivery,Approved
RET0000230,ORD0002090,ITEM00001737,2026-02-17,Quality Issue,Approved
RET0000231,ORD0004176,ITEM00003671,2026-03-21,Quality Issue,Approved
RET0000232,ORD0003957,ITEM00000262,2026-06-14,Damaged,Approved
RET0000233,ORD0003927,ITEM00001155,2026-03-26,Customer Changed Mind,Approved
RET0000234,ORD0002290,ITEM00002806,2026-05-17,Quality Issue,Approved
RET0000235,ORD0000952,ITEM00002249,2026-04-19,Quality Issue,Approved
RET0000236,ORD0002795,ITEM00002538,2026-04-03,Quality Issue,Approved
RET0000237,ORD0000911,ITEM00002583,2026-05-01,Late Delivery,Approved
RET0000238,ORD0001089,ITEM00001588,2026-01-10,Customer Changed Mind,Approved
RET0000239,ORD0001102,ITEM00002150,2026-02-23,Customer Changed Mind,Approved
RET0000240,ORD0003077,ITEM00003311,2026-03-05,Damaged,Rejected
RET0000241,ORD0001343,ITEM00000716,2026-02-22,Wrong Item,Approved
RET0000242,ORD0000777,ITEM00003991,2026-05-23,Late Delivery,Approved
RET0000243,ORD0003178,ITEM00002353,2026-04-17,Customer Changed Mind,Rejected
RET0000244,ORD0003960,ITEM00003828,2026-02-14,Customer Changed Mind,Approved
RET0000245,ORD0002455,ITEM00000396,2026-07-22,Quality Issue,Rejected
RET0000246,ORD0000557,ITEM00002667,2026-07-02,Wrong Item,Approved
RET0000247,ORD0001287,ITEM00001115,2026-04-02,Quality Issue,Approved
RET0000248,ORD0004193,ITEM00002720,2026-02-08,Late Delivery,Approved
RET0000249,ORD0002992,ITEM00001789,2026-05-19,Quality Issue,Approved
RET0000250,ORD0001002,ITEM00003087,2026-09-29,Quality Issue,Approved
RET0000251,ORD0000812,ITEM00002805,2026-09-24,Customer Changed Mind,Approved
RET0000252,ORD0001614,ITEM00000003,2026-04-21,Late Delivery,Approved
RET0000253,ORD0002053,ITEM00000418,2026-06-11,Customer Changed Mind,Approved
RET0000254,ORD0000905,ITEM00000476,2026-06-16,Quality Issue,Approved
RET0000255,ORD0002060,ITEM00003319,2026-04-27,Quality Issue,Approved
RET0000256,ORD0000171,ITEM00000995,2026-02-05,Damaged,Approved
RET0000257,ORD0001240,ITEM00003835,2026-07-19,Damaged,Approved
RET0000258,ORD0002422,ITEM00000933,2026-01-24,Quality Issue,Approved
RET0000259,ORD0004034,ITEM00001774,2026-03-21,Wrong Item,Approved
RET0000260,ORD0000408,ITEM00001609,2026-01-07,Quality Issue,Approved
RET0000261,ORD0002803,ITEM00003911,2026-09-24,Wrong Item,Approved
RET0000262,ORD0003506,ITEM00001378,2026-06-25,Quality Issue,Approved
RET0000263,ORD0003688,ITEM00002463,2026-06-18,Wrong Item,Approved
RET0000264,ORD0002142,ITEM00001221,2026-07-07,Wrong Item,Approved
RET0000265,ORD0001916,ITEM00003204,2026-07-25,Damaged,Approved
RET0000266,ORD0004174,ITEM00001216,2026-03-14,Wrong Item,Approved
RET0000267,ORD0000993,ITEM00003586,2026-03-03,Quality Issue,Approved
RET0000268,ORD0003854,ITEM00003438,2026-03-11,Wrong Item,Approved
RET0000269,ORD0000321,ITEM00003149,2026-04-30,Damaged,Approved
RET0000270,ORD0000933,ITEM00002061,2026-05-26,Late Delivery,Approved
RET0000271,ORD0002673,ITEM00000543,2026-04-20,Damaged,Approved
RET0000272,ORD0001070,ITEM00001357,2026-07-04,Quality Issue,Approved
RET0000273,ORD0001148,ITEM00003797,2026-04-12,Damaged,Approved
RET0000274,ORD0000029,ITEM00000220,2026-03-10,Wrong Item,Approved
RET0000275,ORD0003405,ITEM00001965,2026-06-11,Customer Changed Mind,Approved
RET0000276,ORD0002949,ITEM00002282,2026-09-10,Late Delivery,Approved
RET0000277,ORD0000879,ITEM00001946,2026-07-25,Quality Issue,Approved
RET0000278,ORD0003266,ITEM00001514,2026-04-02,Customer Changed Mind,Approved
RET0000279,ORD0003482,ITEM00001069,2026-08-15,Late Delivery,Rejected
RET0000280,ORD0002656,ITEM00003846,2026-01-23,Quality Issue,Approved
RET0000281,ORD0003886,ITEM00002882,2026-02-12,Quality Issue,Approved
RET0000282,ORD0000376,ITEM00003841,2026-01-16,Late Delivery,Rejected
RET0000283,ORD0000848,ITEM00001125,2026-06-28,Damaged,Approved
RET0000284,ORD0000083,ITEM00003084,2026-06-22,Customer Changed Mind,Approved
RET0000285,ORD0002492,ITEM00000400,2026-08-17,Damaged,Approved
RET0000286,ORD0001114,ITEM00002714,2026-02-05,Late Delivery,Approved
RET0000287,ORD0003749,ITEM00000598,2026-09-23,Wrong Item,Approved
RET0000288,ORD0003600,ITEM00002445,2026-02-24,Late Delivery,Approved
RET0000289,ORD0000160,ITEM00002657,2026-02-25,Quality Issue,Approved
RET0000290,ORD0001236,ITEM00002841,2026-06-06,Quality Issue,Approved
RET0000291,ORD0000813,ITEM00003993,2026-09-17,Late Delivery,Approved
RET0000292,ORD0001575,ITEM00000645,2026-08-09,Quality Issue,Approved
RET0000293,ORD0001392,ITEM00000056,2026-08-14,Quality Issue,Approved
RET0000294,ORD0003569,ITEM00003587,2026-04-23,Damaged,Approved
RET0000295,ORD0002311,ITEM00002682,2026-09-10,Customer Changed Mind,Approved
RET0000296,ORD0002114,ITEM00002159,2026-03-18,Wrong Item,Approved
RET0000297,ORD0000440,ITEM00000580,2026-03-07,Late Delivery,Rejected
RET0000298,ORD0000351,ITEM00002183,2026-02-02,Late Delivery,Approved
RET0000299,ORD0003328,ITEM00001900,2026-08-03,Quality Issue,Approved
RET0000300,ORD0000904,ITEM00000531,2026-07-25,Late Delivery,Approved
RET0000301,ORD0000852,ITEM00000591,2026-02-12,Wrong Item,Approved
RET0000302,ORD0003425,ITEM00001027,2026-09-11,Quality Issue,Approved
RET0000303,ORD0000298,ITEM00000466,2026-06-01,Wrong Item,Approved
RET0000304,ORD0003851,ITEM00000109,2026-01-03,Quality Issue,Approved
RET0000305,ORD0002015,ITEM00000316,2026-06-14,Late Delivery,Approved
RET0000306,ORD0001004,ITEM00001586,2026-04-08,Wrong Item,Approved
RET0000307,ORD0000033,ITEM00000083,2026-02-12,Late Delivery,Approved
RET0000308,ORD0003069,ITEM00002937,2026-08-11,Wrong Item,Approved
RET0000309,ORD0001951,ITEM00001684,2026-08-07,Quality Issue,Approved
RET0000310,ORD0001326,ITEM00003348,2026-05-02,Quality Issue,Approved
RET0000311,ORD0001333,ITEM00000946,2026-09-30,Quality Issue,Approved
RET0000312,ORD0001933,ITEM00003749,2026-06-16,Quality Issue,Approved
RET0000313,ORD0002496,ITEM00002134,2026-05-17,Quality Issue,Approved
RET0000314,ORD0001150,ITEM00000343,2026-10-04,Wrong Item,Approved
RET0000315,ORD0001979,ITEM00003421,2026-02-18,Damaged,Approved
RET0000316,ORD0002244,ITEM00003877,2026-03-01,Customer Changed Mind,Approved
RET0000317,ORD0000168,ITEM00003181,2026-07-29,Quality Issue,Approved
RET0000318,ORD0003128,ITEM00002168,2026-08-01,Damaged,Approved
RET0000319,ORD0001275,ITEM00000756,2026-05-14,Late Delivery,Approved
RET0000320,ORD0000313,ITEM00003739,2026-02-25,Quality Issue,Approved
RET0000321,ORD0003376,ITEM00002211,2026-01-14,Damaged,Approved
RET0000322,ORD0000242,ITEM00001880,2026-06-28,Customer Changed Mind,Approved
RET0000323,ORD0000239,ITEM00001311,2026-07-02,Quality Issue,Approved
RET0000324,ORD0001899,ITEM00002122,2026-05-29,Quality Issue,Rejected
RET0000325,ORD0003698,ITEM00002582,2026-02-26,Quality Issue,Approved
RET0000326,ORD0000136,ITEM00003279,2026-07-27,Wrong Item,Approved
RET0000327,ORD0003834,ITEM00003610,2026-02-19,Damaged,Approved
RET0000328,ORD0002687,ITEM00003170,2026-04-28,Customer Changed Mind,Approved
RET0000329,ORD0003435,ITEM00001082,2026-09-03,Late Delivery,Approved
RET0000330,ORD0003191,ITEM00001442,2026-05-27,Damaged,Approved
RET0000331,ORD0000847,ITEM00000710,2026-02-07,Customer Changed Mind,Approved
RET0000332,ORD0002658,ITEM00001306,2026-09-30,Quality Issue,Approved
RET0000333,ORD0002073,ITEM00003273,2026-03-28,Late Delivery,Approved
RET0000334,ORD0004184,ITEM00001003,2026-02-07,Damaged,Approved
RET0000335,ORD0002831,ITEM00003288,2026-03-29,Quality Issue,Approved
RET0000336,ORD0003863,ITEM00000186,2026-03-01,Late Delivery,Approved
RET0000337,ORD0002156,ITEM00002813,2026-05-25,Damaged,Approved
RET0000338,ORD0002613,ITEM00000421,2026-05-01,Customer Changed Mind,Approved
RET0000339,ORD0004170,ITEM00002515,2026-06-14,Wrong Item,Approved
RET0000340,ORD0001135,ITEM00002688,2026-08-12,Late Delivery,Approved
RET0000341,ORD0003693,ITEM00003626,2026-05-11,Quality Issue,Approved
RET0000342,ORD0000746,ITEM00001394,2026-07-15,Quality Issue,Approved
RET0000343,ORD0001202,ITEM00002261,2026-05-13,Customer Changed Mind,Approved
RET0000344,ORD0001977,ITEM00001541,2026-02-06,Quality Issue,Approved
RET0000345,ORD0004139,ITEM00001108,2026-09-07,Late Delivery,Approved
RET0000346,ORD0001722,ITEM00001120,2026-05-03,Damaged,Approved
RET0000347,ORD0001138,ITEM00000395,2026-08-05,Wrong Item,Approved
RET0000348,ORD0002969,ITEM00001986,2026-01-20,Wrong Item,Approved
RET0000349,ORD0000206,ITEM00002677,2026-05-18,Customer Changed Mind,Approved
RET0000350,ORD0003111,ITEM00001080,2026-02-11,Wrong Item,Approved
RET0000351,ORD0000226,ITEM00002796,2026-08-01,Late Delivery,Approved
RET0000352,ORD0001140,ITEM00003935,2026-06-18,Quality Issue,Approved
RET0000353,ORD0003097,ITEM00002921,2026-05-02,Quality Issue,Approved
RET0000354,ORD0001208,ITEM00002995,2026-08-11,Quality Issue,Approved
RET0000355,ORD0003516,ITEM00001955,2026-03-22,Wrong Item,Approved
