ProductID,ProductName,Category,SubCategory,Brand,UnitCost,UnitPrice
PROD00026,Personal Care Product 26,Grocery,Personal Care,Brand_6,15315.35,20955.68
PROD00027,Decor Product 27,Home,Decor,Brand_15,4635.81,6847.94
PROD00028,Household Product 28,Grocery,Household,Brand_6,2553.38,3343.12
PROD00029,Mobile Product 29,Electronics,Mobile,Brand_12,8852.63,11616.0
PROD00030,Household Product 30,Grocery,Household,Brand_8,21485.06,31849.17
PROD00031,Accessories Product 31,Fashion,Accessories,Brand_7,22395.74,27602.46
PROD00032,Food Product 32,Grocery,Food,Brand_4,17660.31,21985.37
PROD00033,Accessories Product 33,Fashion,Accessories,Brand_2,10328.06,14237.63
PROD00034,Laptop Product 34,Electronics,Laptop,Brand_3,5065.31,6989.97
PROD00035,Decor Product 35,Home,Decor,Brand_9,21604.21,29473.68
PROD00036,Kitchen Product 36,Home,Kitchen,Brand_2,19730.43,25163.54
PROD00037,Men Product 37,Fashion,Men,Brand_7,7278.78,10709.86
PROD00038,Accessories Product 38,Electronics,Accessories,Brand_1,8363.56,11449.14
PROD00039,Audio Product 39,Electronics,Audio,Brand_14,3922.77,5270.61
PROD00040,Furniture Product 40,Home,Furniture,Brand_12,19509.53,26930.85
PROD00041,Laptop Product 41,Electronics,Laptop,Brand_4,25280.69,31482.01
PROD00042,Personal Care Product 42,Grocery,Personal Care,Brand_14,20874.42,28474.31
PROD00043,Footwear Product 43,Fashion,Footwear,Brand_10,674.19,1033.45
PROD00044,Decor Product 44,Home,Decor,Brand_14,21977.4,25709.47
PROD00045,Audio Product 45,Electronics,Audio,Brand_12,19652.59,24509.37
PROD00046,Personal Care Product 46,Grocery,Personal Care,Brand_13,13198.38,17992.73
PROD00047,Mobile Product 47,Electronics,Mobile,Brand_13,15060.7,19432.07
PROD00048,Kitchen Product 48,Home,Kitchen,Brand_12,16669.02,19471.18
PROD00049,Laptop Product 49,Electronics,Laptop,Brand_3,28714.01,36803.75
PROD00050,Food Product 50,Grocery,Food,Brand_12,20805.15,29435.69
PROD00051,Accessories Product 51,Electronics,Accessories,Brand_11,21441.31,26642.17
PROD00052,Decor Product 52,Home,Decor,Brand_1,3166.38,3686.71
PROD00053,Personal Care Product 53,Grocery,Personal Care,Brand_2,27700.82,32924.49
PROD00054,Furniture Product 54,Home,Furniture,Brand_3,27760.4,36912.87
PROD00055,Household Product 55,Grocery,Household,Brand_4,15197.35,23334.75
PROD00056,Audio Product 56,Electronics,Audio,Brand_13,15340.59,23188.7
PROD00057,Laptop Product 57,Electronics,Laptop,Brand_1,24292.32,31419.96
PROD00058,Food Product 58,Grocery,Food,Brand_14,12149.22,18182.64
PROD00059,Laptop Product 59,Electronics,Laptop,Brand_15,10797.5,12601.2
PROD00060,Decor Product 60,Home,Decor,Brand_10,18313.96,26022.82
PROD00061,Food Product 61,Grocery,Food,Brand_4,25720.42,29654.17
PROD00062,Decor Product 62,Home,Decor,Brand_6,12370.03,15772.0
PROD00063,Laptop Product 63,Electronics,Laptop,Brand_14,10175.69,12483.91
PROD00064,Women Product 64,Fashion,Women,Brand_4,16648.47,22156.12
PROD00065,Mobile Product 65,Electronics,Mobile,Brand_10,11411.6,15361.54
PROD00066,Household Product 66,Grocery,Household,Brand_6,29881.98,45048.76
PROD00067,Accessories Product 67,Fashion,Accessories,Brand_11,6746.05,9721.17
PROD00068,Decor Product 68,Home,Decor,Brand_1,22120.09,27586.06
PROD00069,Women Product 69,Fashion,Women,Brand_8,13189.96,20171.63
PROD00070,Kitchen Product 70,Home,Kitchen,Brand_13,1606.57,2111.98
PROD00071,Beverages Product 71,Grocery,Beverages,Brand_6,8253.5,10168.48
PROD00072,Kitchen Product 72,Home,Kitchen,Brand_1,3528.21,4790.71
PROD00073,Beverages Product 73,Grocery,Beverages,Brand_8,17474.24,22314.85
PROD00074,Audio Product 74,Electronics,Audio,Brand_12,4980.86,7552.65
PROD00075,Furniture Product 75,Home,Furniture,Brand_13,15836.02,21538.55
PROD00076,Women Product 76,Fashion,Women,Brand_7,5556.91,8213.19
PROD00077,Laptop Product 77,Electronics,Laptop,Brand_3,3602.12,4512.83
PROD00078,Kitchen Product 78,Home,Kitchen,Brand_9,3517.54,4156.2
PROD00079,Accessories Product 79,Fashion,Accessories,Brand_4,20339.1,28032.28
PROD00080,Audio Product 80,Electronics,Audio,Brand_8,1391.85,1983.77
PROD00081,Appliances Product 81,Home,Appliances,Brand_3,9237.86,11731.11
PROD00082,Decor Product 82,Home,Decor,Brand_1,17170.0,24230.95
PROD00083,Beverages Product 83,Grocery,Beverages,Brand_8,817.03,996.44
PROD00084,Audio Product 84,Electronics,Audio,Brand_15,27701.88,33636.84
PROD00085,Personal Care Product 85,Grocery,Personal Care,Brand_13,20479.25,30956.16
PROD00086,Personal Care Product 86,Grocery,Personal Care,Brand_6,4758.99,7222.29
PROD00087,Men Product 87,Fashion,Men,Brand_3,10377.34,12584.23
PROD00088,Household Product 88,Grocery,Household,Brand_11,22569.06,32457.45
PROD00089,Laptop Product 89,Electronics,Laptop,Brand_10,29688.78,38999.15
PROD00090,Men Product 90,Fashion,Men,Brand_15,15945.21,24075.28
PROD00091,Furniture Product 91,Home,Furniture,Brand_6,28346.56,36997.61
PROD00092,Laptop Product 92,Electronics,Laptop,Brand_8,15973.8,22785.65
PROD00093,Decor Product 93,Home,Decor,Brand_9,6818.57,10532.57
PROD00094,Men Product 94,Fashion,Men,Brand_10,19766.97,30366.64
PROD00095,Men Product 95,Fashion,Men,Brand_11,1856.94,2383.13
PROD00096,Audio Product 96,Electronics,Audio,Brand_2,5950.37,8593.11
PROD00097,Men Product 97,Fashion,Men,Brand_2,21165.15,31284.13
PROD00098,Household Product 98,Grocery,Household,Brand_11,7764.47,11569.88
PROD00099,Kitchen Product 99,Home,Kitchen,Brand_3,1134.91,1583.05
PROD00100,Men Product 100,Fashion,Men,Brand_6,4602.24,5870.04
